time,P,G(i),H_sun,T2m,WS10m,Int
20230118:2010,0.0,0.0,0.0,2.23,1.24,0.0
20230118:2110,0.0,0.0,0.0,2.13,1.45,0.0
20230118:2210,0.0,0.0,0.0,1.95,1.79,0.0
20230118:2310,0.0,0.0,0.0,2.07,2.41,0.0
20230119:0010,0.0,0.0,0.0,1.95,3.03,0.0
20230119:0110,0.0,0.0,0.0,1.37,3.38,0.0
20230119:0210,0.0,0.0,0.0,0.72,3.93,0.0
20230119:0310,0.0,0.0,0.0,0.33,4.14,0.0
20230119:0410,0.0,0.0,0.0,0.23,4.34,0.0
20230119:0510,0.0,0.0,0.0,0.1,4.62,0.0
20230119:0610,0.0,0.0,0.0,0.11,4.83,0.0
20230119:0710,11.73,25.41,4.24,0.15,4.76,0.0
20230119:0810,33.71,52.69,11.68,0.48,4.83,0.0
20230119:0910,67.56,91.71,17.45,0.71,4.62,0.0
20230119:1010,93.0,120.08,21.05,1.2,5.66,0.0
20230119:1110,68.19,92.69,22.13,1.63,5.72,0.0
20230119:1210,59.53,82.93,20.55,1.65,5.31,0.0
20230119:1310,52.68,75.13,16.49,1.67,4.97,0.0
